gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
EREG,0.2130058479532164,-0.0323826780396036,0.0,0.0,2.43153,17.61,-0.159334126040428,False,0.0323826780396036,0.0,2.43153,0.0,0.04299174118018144,0.007521989091351487,0.15726251550385142,0.0,0.1215765,0.0,0.10739000052840868,0.0730413264049813,2860,49
ATF3,0.2996963562753036,0.0124964546996218,0.0,0.0,0.0,,-0.1192350956130483,False,0.0124964546996218,0.0,0.0,0.0,0.002892710752801758,0.0029027307690909507,0.23242484107876069,0.0,0.0,0.0,0.0072073772571142145,0.0709586404172112,3026,50
HMGB2,0.1105028571428571,-0.0244658607114198,0.0,2.0,3.92822,,-0.048076923076923,False,0.0244658607114198,2.0,3.92822,0.0,0.06826546178332354,0.005683036380028729,0.06839046576265477,0.06666666666666667,0.196411,0.0,0.1705333634192903,0.07021036881376956,3088,51
GSR,0.0674514285714285,-0.0715048861597308,0.0016556291390728,7.0,2.57342,,-0.1627906976744186,True,0.07138650058661866,7.0,2.57342,0.0,0.011318572237035418,0.016581966384176024,0.031064055370316212,0.23333333333333334,0.128671,0.0,0.028258382675806857,0.07000737566013801,3113,52
DPYD,0.2101287553648068,0.0942308696450177,0.0057947019867549,2.0,0.0,,-0.1686211079660331,False,0.09368482983747208,2.0,0.0,0.0,0.05227872310578656,0.02176151914306626,0.15476802130806525,0.06666666666666667,0.0,0.0,0.13059241219931392,0.06948848274530514,3170,53
CASP3,0.0528228571428571,0.15727425552336,0.0033112582781456,3.0,4.1877,,-0.1036717062634989,True,0.1567534798428191,3.0,4.1877,0.0,0.047800419173884265,0.0364113790702254,0.018380804692802753,0.1,0.20938500000000002,0.0,0.11940390636956232,0.06881560044738656,3232,54
SOD1,0.1175885714285714,-1.5238231908855124,0.9759933774834436,3.0,1.8107,,-0.0321637426900584,True,0.03658184812556294,3.0,1.8107,0.0,0.11930838274732478,0.00849739055569876,0.07453391530957539,0.1,0.090535,0.0,0.2980579860124443,0.06839254106020447,3269,55
H1-0,0.2099428571428571,0.0092797587245628,0.0074503311258278,0.0,0.0,,-0.2866379310344827,False,0.009210621449297017,0.0,0.0,0.0,0.17029554617423615,0.002139483151499976,0.15460684400097108,0.0,0.0,0.0,0.4254433050794713,0.06829606339971489,3289,56
TIMP3,0.1848684210526316,0.122203964371389,0.0,3.0,0.0,,-0.153987167736022,False,0.122203964371389,3.0,0.0,0.0,0.037644782875775454,0.02838606756974526,0.13286682925773524,0.1,0.0,0.0,0.0940312658221484,0.06807743233935157,3318,57
XIAP,0.0804342857142857,-0.1187413706679388,0.0107615894039735,3.0,3.43572,27.12,-0.0665330661322645,False,0.11746352479154541,3.0,3.43572,0.0,0.04980931872798204,0.02728493767665286,0.04232044034660948,0.1,0.171786,0.0,0.12442290121988743,0.06787065846797308,3336,58
TIMP1,0.170233918128655,-0.0269955880692427,0.0,2.0,2.05421,,-0.1523625843780135,False,0.0269955880692427,2.0,2.05421,0.0,0.03602019951776696,0.0062706524371801955,0.12017843586047747,0.06666666666666667,0.1027105,0.0,0.08997243894295656,0.06783992343644511,3340,59
HMOX1,0.2552685714285714,0.0543794053215275,0.0008278145695364,0.0,0.0,17.2,-0.1613559322033898,False,0.054334389257519614,0.0,0.0,0.0,0.045013547343143265,0.012621027908206657,0.19390510352207926,0.0,0.0,0.0,0.1124412409946441,0.06757990147881797,3364,60
ROCK1,0.0406742857142857,0.1337293060183142,0.0140728476821192,7.0,2.45557,,-0.0964835803545481,False,0.13184735386408294,7.0,2.45557,0.0,0.01985880450569845,0.030626075961854925,0.007847761356711495,0.23333333333333334,0.12277849999999998,0.0,0.04959512979667059,0.06743868268540346,3380,61
PSEN2,0.1515497553017944,0.2118121207508103,0.0,1.0,0.0,,-0.2476107732406603,False,0.2118121207508103,1.0,0.0,0.0,0.13126838838041377,0.04920063929719143,0.10397891002231474,0.03333333333333333,0.0,0.0,0.3279386271624157,0.06735079615397263,3387,62
DFFA,0.0694857142857142,-0.0354667265872825,0.0,4.0,4.25794,,-0.0965079365079365,False,0.0354667265872825,4.0,4.25794,0.0,0.019834448352310047,0.008238365281871244,0.03282781991765793,0.13333333333333333,0.21289699999999998,0.0,0.04953427886553232,0.06673111950313536,3451,63
RELA,0.05176,-0.3320693189071303,0.2748344370860927,5.0,2.48639,,-0.1110694183864915,False,0.24080523457172698,5.0,2.48639,0.0,0.005272966473755053,0.0559352856911225,0.0174592872607647,0.16666666666666666,0.1243195,0.0,0.01315416099826887,0.06632400493547959,3483,64
TAP1,0.08152,-0.2485326705231264,0.0091059602649006,1.0,2.69781,,-0.2033342443290516,False,0.24626954190081315,1.0,2.69781,0.0,0.08699185946880504,0.05720455872872953,0.0432617753578312,0.03333333333333333,0.1348905,0.0,0.21731902443298046,0.06623942644761724,3492,65
CCNA1,0.2510251046025104,0.011410138691677,0.0,0.0,0.0,,-0.1773440814594823,False,0.011410138691677,0.0,0.0,0.0,0.06100169659923575,0.0026503965689507417,0.1902259367791446,0.0,0.0,0.0,0.15238571637614046,0.06548218582323562,3573,66
PAK1,0.0486971428571428,-0.4188514868106596,0.0149006622516556,2.0,2.59093,,-0.1380863039399625,False,0.41261032227209016,2.0,2.59093,0.0,0.021743919079715943,0.09584291760286036,0.014803731650160263,0.06666666666666667,0.1295465,0.0,0.054304862704902465,0.06534121291115132,3594,67
TIMP2,0.1754491725768321,0.0674157735383738,0.0,0.0,2.48692,,-0.1518518518518518,False,0.0674157735383738,0.0,2.48692,0.0,0.035509466991605246,0.015659628660745484,0.12470016102251587,0.0,0.124346,0.0,0.0886964349170358,0.0651946586508302,3604,68
RHOB,0.1377714285714285,-0.0033261086200334,0.0033112582781456,4.0,1.76015,,-0.1475409836065573,False,0.0033150950153313027,4.0,1.76015,0.0,0.031198598746310743,0.0007700446674490357,0.09203283772870723,0.13333333333333333,0.0880075,0.0,0.07792624708985979,0.06493830207333987,3632,69
