pathway,n_genes,E_raw,D_raw,L_raw,R_raw,F_raw,Zc_raw,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank
Heme Metabolism,141,0.1581921475863108,0.1179668506973437,0.6595744680851063,0.18888888888888888,0.0425531914893617,0.04799497725429576,0.6452755902733402,0.4603938620115468,0.5579288563829786,0.14593114241001565,0.1844490825830971,0.4090640373098169,0.46695549149906096,13
P53 Pathway,142,0.14956857924643205,0.1327448484773861,0.5563380281690141,0.20224719101123595,0.07746478873239436,0.05357878576807191,0.5445028348683069,0.6022557137333648,0.3208076584507043,0.1736825447064409,0.3730125997566659,0.5562439439076814,0.46466392223729064,14
Hypoxia,134,0.143688580120483,0.1326851952518279,0.5522388059701493,0.2857142857142857,0.06716417910447761,0.04576034620124552,0.47579070894232345,0.6016830707295681,0.3113922574626866,0.34708249496981886,0.3173772426301873,0.3501628789235308,0.45539035284412915,15
E2F Targets,194,0.13470974446161585,0.1095737377095136,0.7680412371134021,0.2345679012345679,0.18041237113402062,0.04445084597979573,0.37086639292701945,0.3798239114752164,0.8070634664948455,0.24082768214223613,0.9290501275452446,0.31564663077365934,0.44462560153217817,16
Apical Surface,20,0.14185768368098847,0.13181260309760523,0.55,0.2222222222222222,0.1,0.050678764959485596,0.45439533387282854,0.5933065950636202,0.3062500000000001,0.21517996870109546,0.4947291361639825,0.4798042181028742,0.44125174169944176,17
Adipogenesis,154,0.15610876452737749,0.09880541424874051,0.7207792207792207,0.2631578947368421,0.025974025974025976,0.04552728842701468,0.6209297228622831,0.27645305374320334,0.6985085227272726,0.3002223869532987,0.0949021695727406,0.3440198635678691,0.4409705710907621,18
Oxidative Phosphorylation,181,0.1885474770283419,0.07884663484177944,0.6906077348066298,0.14035087719298245,0.016574585635359115,0.04145455806626357,1.0,0.08485812681727287,0.629208390883978,0.045095132196688884,0.04413418215057069,0.23666946417384246,0.4406431488235025,19
Complement,115,0.13875594502673802,0.12812217992781536,0.6434782608695652,0.3088235294117647,0.02608695652173913,0.034663494601733215,0.4181492303556026,0.5578802624645912,0.5209578804347824,0.39509113504556753,0.09551212680628937,0.057668324728641016,0.43787522274485713,20
Estrogen Response Late,127,0.1333265445037572,0.1335225011560053,0.6692913385826772,0.18181818181818182,0.07874015748031496,0.04801920329155288,0.3547026813941782,0.6097208149349862,0.5802472933070867,0.13124199743918055,0.3799010848387729,0.4097025953642242,0.43553062652083924,21
Interferon Alpha Response,60,0.1440381169159067,0.11398798473983017,0.75,0.23076923076923078,0.016666666666666666,0.039235345905836314,0.4798753041588308,0.4221986138536361,0.765625,0.23293607800650057,0.04463152757442655,0.17817472215561314,0.4315466495912171,22
Kras Signaling Up,81,0.1282151870903694,0.13553229249841728,0.6049382716049383,0.275,0.07407407407407407,0.04668153170362493,0.29497270070566495,0.6290138697623515,0.4324363425925926,0.32482394366197187,0.3546987690472317,0.37444379684272705,0.42724214237308755,23
Myc Targets V1,196,0.15994763586753216,0.07000681501351938,0.8520408163265306,0.2215568862275449,0.04081632653061224,0.05568447025516786,0.6657897654045144,0.0,1.0,0.2137977565994771,0.17506797741058355,0.6117462852524367,0.42114730624442687,24
Estrogen Response Early,135,0.13927086828324903,0.13625740816898976,0.5777777777777777,0.14705882352941177,0.06666666666666667,0.04987724017012353,0.42416648833230186,0.6359746403126653,0.37005208333333317,0.05903065451532727,0.31469009272816006,0.45867735758408396,0.42107312178640144,25
Glycolysis,157,0.1471298616982882,0.10332041528197329,0.7133757961783439,0.23232323232323232,0.07006369426751592,0.043905701921385744,0.5160046219133996,0.31979494732267894,0.6815037818471337,0.2361644615165742,0.3330380207216197,0.3012775399638272,0.42010588530965204,26
Allograft Rejection,72,0.14661888950249283,0.11514423050486644,0.6388888888888888,0.2558139534883721,0.027777777777777776,0.04136087373794212,0.5100335349948277,0.43329803122498484,0.5104166666666665,0.2849656075990829,0.104644542053034,0.23420010107551711,0.4192490431622337,27
Xenobiotic Metabolism,118,0.1316509066323216,0.1177452302966531,0.6694915254237288,0.265625,0.0423728813559322,0.05227559365035575,0.33512161718613787,0.45826641004618257,0.580707097457627,0.3053477112676056,0.18347519666476414,0.5218939668819065,0.4061930876558146,28
Interferon Gamma Response,107,0.1329651021410006,0.11592360501248723,0.7102803738317757,0.2602739726027397,0.04672897196261682,0.042168095742006556,0.35047896084375935,0.44077966117793965,0.6743939836448597,0.294231140266255,0.20700318824318223,0.2554771306994429,0.40579537114030817,29
Spermatogenesis,64,0.14433150726454497,0.10323110164987535,0.65625,0.2926829268292683,0.078125,0.039616717923261484,0.483303786740084,0.31893757831897496,0.55029296875,0.361559601511508,0.37657851390922403,0.1882270543165734,0.4056905734682337,30
Il2 Stat5 Signaling,110,0.13037430970964256,0.12492375473922558,0.6363636363636364,0.23880597014925373,0.045454545454545456,0.05082338475770194,0.3202036407325807,0.5271768798683497,0.5046164772727272,0.24963212108471727,0.2001197923599095,0.4836161554823832,0.40153824332601046,31
