Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
B2m,P01887,,,,,
H2-D1,P01899,0.5110565188056816,0.816510823520442,191808200.0,273344608.0,337801380.0
Hba,P01942,,,,,
Hbb-b2,P02089,,,,,
H3-5,P02301,1.8113683094093447,1.3254603021259528,1604833647.5,5632565045.0,4021919097.5
Tp53,P02340,0.11492793714780704,-0.3661539937770805,906844930.0,982041375.0,703573857.5
Lamc1,P02468,,,,,
Lamb1,P02469,,,,283689672.0,296685360.0
Krt10,P02535,,,,,
Mtnd5,P03921,,,,,
Mtatp8,P03930,,,,,
Tk1,P04184,,,,410255402.6666667,204322192.0
Aldoc,P05063,,,,,
Aldoa,P05064,-0.6263297280121333,-0.8458868245892631,7865894500.0,5095702700.0,4376337530.0
Prkaca,P05132,0.7479109697048644,,202745820.0,340483088.0,
Got1,P05201,-0.02370999481908943,-0.348617004186606,195352212.0,192167930.66666666,153417237.33333334
Got2,P05202,0.36465418752087764,0.32023425694498303,2055499392.5,2646605442.5,2566359362.5
Pdgfrb,P05622,,,,,
Ldha,P06151,-0.7074516257263718,-0.9738410066620381,18461508600.0,11305845000.0,9399653250.0
Nr3c1,P06537,,,,,
Gpi,P06745,-0.5315432220235145,-1.1551615417925711,1838226655.0,1271711520.0,825393007.5
Abcb1b,P06795,0.6221770363286094,0.49692590927906005,268099876.0,412658280.0,378343448.0
Ctsl,P06797,0.7026088599744095,1.188499940649173,202481882.66666666,329528144.0,461487882.6666667
Me1,P06801,-0.3743961946336427,-0.8434625339546283,638979537.5,492926839.5,356106112.0
S100a4,P07091,0.4393223944223449,0.20130920091586726,11289082875.0,15307627300.0,12979524100.0
Sparc,P07214,-0.07017103133015803,0.27852401497198126,530335111.5,505157489.0,643271727.5
Anxa2,P07356,-0.06657529834489684,0.10869998776430675,10565556000.0,10089071375.0,11392376075.0
Tyms,P07607,-0.09440320786356099,0.26868078053880795,193796280.0,181521152.0,233467488.0
Alb,P07724,2.653371587161239,,2442578110.0,15367134700.0,
Rrm1,P07742,0.035009486479935015,-0.4935476125808646,659627410.0,675830207.5,468517760.0
