gene,n_sites,max_cr,n_engaged
C12orf4,2,1.53162,0
C12orf57,2,2.46961,0
C14orf1,2,2.27223,0
C14orf119,1,2.81066,0
C14orf159,7,2.09833,0
C14orf166,2,1.574,0
C14orf80,7,2.50166,0
C15orf39,7,4.43883,2
C15orf40,1,1.25036,0
C15orf41,2,1.50245,0
C15orf61,1,1.74317,0
C16orf13,1,1.4844,0
C16orf58,1,1.72662,0
C16orf62,9,2.53067,0
C16orf70,3,2.12582,0
C16orf72,1,1.80723,0
C16orf80,2,1.88101,0
C17orf59,1,2.38813,0
C17orf75,9,7.44302,1
C17orf80,1,2.10271,0
C18orf21,2,2.84899,0
C18orf25,1,2.16594,0
C18orf32,1,1.72878,0
C18orf8,3,2.04139,0
C19orf43,1,3.56822,0
C19orf52,1,1.7705,0
C19orf54,2,1.59514,0
C19orf68,1,1.30815,0
C1QTNF6,1,2.14265,0
C1orf109,1,2.26102,0
C1orf112,2,1.59194,0
C1orf122,1,3.18213,0
C1orf172,2,1.72119,0
C1orf174,2,5.61034,2
C1orf198,1,3.11064,0
C1orf43,1,2.0011,0
C20orf27,2,1.63764,0
C2CD2,3,2.47843,0
C2CD2L,2,2.0933,0
C2CD5,2,2.23696,0
C2orf42,6,1.69077,0
C2orf43,3,2.4139,0
C2orf44,8,2.23261,0
C2orf69,3,2.17219,0
C2orf72,1,2.6241,0
C3,1,2.73942,0
C3orf17,1,2.1977,0
C3orf38,2,10.6345,1
C3orf58,1,1.50412,0
C4A,2,1.77534,0
C4orf21,1,1.79436,0
C4orf27,3,2.48022,0
C4orf29,1,1.78256,0
C4orf48,1,2.3736,0
C5orf22,1,2.25233,0
C5orf28,1,2.92057,0
C5orf30,1,1.82608,0
C5orf34,3,1.56966,0
C5orf45,2,2.20087,0
C5orf51,7,7.26971,1
C6orf106,1,2.34439,0
C6orf132,2,1.5906,0
C6orf89,1,2.35529,0
C7,3,2.93714,0
C7orf26,4,1.86936,0
C7orf43,2,1.58995,0
C7orf50,1,1.83426,0
C7orf55,6,2.3872,0
C8B,4,4.21517,1
C8orf33,3,4.57237,1
C8orf76,3,1.86457,0
C8orf82,4,2.24903,0
C9orf114,4,2.3104,0
C9orf142,3,3.02213,0
C9orf156,3,1.78887,0
C9orf41,2,3.57441,0
C9orf78,1,3.20018,0
C9orf85,1,5.1819,1
C9orf89,3,3.77876,0
CAAP1,3,1.81061,0
CAB39,1,1.09516,0
CABIN1,8,2.40015,0
CABLES2,2,2.3034,0
CACTIN,1,1.62987,0
CACUL1,4,2.59374,0
CACYBP,1,1.58721,0
CAD,18,12.7724,3
CALCOCO2,2,2.44106,0
CALR,2,2.71726,0
CAMK1,3,4.77146,1
CAMK1D,3,3.46776,0
CAMK2D,2,1.6646,0
CAMK2G,4,3.18555,0
CAMK4,2,3.27165,0
CAMKK2,3,3.0118,0
CAMKMT,3,3.60832,0
CAMSAP1,8,3.70382,0
CAMSAP2,8,2.49883,0
CAMSAP3,6,1.84569,0
CAND1,16,5.83854,2
CANX,3,20.0,2
CAP1,5,1.94266,0
CAPN1,9,3.02,0
CAPN15,3,1.56527,0
CAPN2,8,1.62994,0
CAPN7,5,4.06751,1
CAPNS1,2,2.67607,0
CAPRIN1,1,3.13221,0
CAPZA1,1,4.1319,1
CAPZA2,1,2.49149,0
CAPZB,3,4.16946,1
CARD10,2,1.81452,0
CARM1,2,1.68279,0
CARS,6,3.88106,0
CARS2,1,1.7714,0
CASC3,1,3.33298,0
CASC5,13,4.26498,2
CASK,4,3.85946,0
CASKIN1,1,2.31377,0
CASKIN2,2,2.08447,0
CASP2,9,4.49997,2
CASP3,3,4.1877,1
CASP5,1,2.33332,0
CASP6,1,1.4159,0
CASP7,4,2.26971,0
CASP8,8,20.0,2
CASP8AP2,4,2.98214,0
CASP9,2,1.48202,0
CAST,4,256.89,1
CAT,1,1.45832,0
CAV1,1,1.63207,0
CBFA2T3,1,2.63453,0
CBFB,2,1.83553,0
CBL,5,4.22675,1
CBLL1,5,4.71094,1
CBWD1,5,13.3146,1
CBX2,2,1.98542,0
CBX3,1,2.48792,0
CBX5,2,2.44869,0
CBX8,1,2.36583,0
CC2D1A,3,1.64941,0
CC2D1B,2,2.36581,0
CCAR1,4,2.18452,0
CCAR2,6,2.75085,0
CCDC101,2,2.32733,0
CCDC102B,1,2.16022,0
CCDC127,2,1.44912,0
CCDC132,6,1.47074,0
CCDC138,2,3.88695,0
CCDC18,3,1.59967,0
CCDC22,1,1.55197,0
CCDC25,1,2.81156,0
CCDC34,1,2.12177,0
CCDC47,4,2.52988,0
CCDC51,2,1.80509,0
CCDC71,1,3.17803,0
CCDC71L,2,2.29162,0
CCDC82,3,1.89758,0
CCDC84,1,2.91237,0
CCDC85B,2,1.74297,0
CCDC85C,2,2.2191,0
CCDC86,1,3.12568,0
CCDC88C,2,2.41682,0
CCDC9,1,4.49837,1
CCDC93,1,1.50549,0
CCDC94,3,4.04972,1
CCDC97,2,2.63854,0
CCNB1,1,2.5121,0
CCNB2,4,2.8704,0
CCND1,5,3.96241,0
CCND3,2,20.0,1
CCNDBP1,1,1.59126,0
CCNE1,2,2.08489,0
CCNE2,3,6.56258,1
CCNF,5,3.31598,0
CCNG1,2,2.34186,0
CCNH,3,2.26236,0
CCNK,3,1.8019,0
CCNL1,2,2.33738,0
CCNL2,1,1.22965,0
CCNT1,1,1.56806,0
CCNT2,1,1.72112,0
CCRN4L,3,3.8719,0
CCS,3,3.70465,0
CCT2,4,2.62939,0
CCT3,7,1.84507,0
CCT4,7,2.9927,0
CCT5,8,2.54677,0
CCT6A,5,2.92102,0
CCT7,8,4.30931,1
CCT8,5,1.93048,0
CCZ1,2,1.74441,0
CD151,5,2.57675,0
CD2AP,1,2.5173,0
CD320,10,4.35085,3
CD3EAP,4,14.4031,3
CD40,3,3.48794,0
CD44,1,1.60333,0
CD59,2,2.66869,0
CD81,1,2.60555,0
CD9,1,2.37704,0
